#{"t_start": 1781625549.3229792, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-143.483314,137,21.991579
-207.065871,102,22.102646
-153.539547,134,22.24442
-206.207472,102,22.352777
-98.312998,201,22.571418
-256.592654,208,22.790487
-88.910545,123,22.925829
-287.242633,84,23.018427
-186.08819,205,23.240161
-203.387639,96,23.342319
-58.92839,95,23.446118
-247.868804,116,24.754354
-165.771144,123,24.885663
-156.680063,662,25.614712
-137.176978,108,25.731978
-227.61932,164,25.911233
-257.773551,155,26.079848
-27.886089,142,26.227884
-67.657887,82,26.314058
-15.160134,142,26.464971
-107.094743,132,26.618284
-72.792979,91,26.720324
-50.988636,86,26.814054
-94.686329,112,26.941639
-47.847923,101,28.199946
-245.968832,192,28.439393
-81.579501,139,28.595652
-108.738216,177,28.778548
-33.83787,103,28.881922
-57.756982,161,29.046105
-90.353349,128,29.179799
-55.89375,215,29.396043
-100.822645,113,29.51044
-52.363161,163,29.676774
-86.306537,125,29.806267
-134.404904,168,29.980419
-93.971185,121,30.111351
-65.620524,105,30.223117
-79.657637,99,31.389398
-45.424754,127,31.516618
-47.924163,183,31.698673
-25.909076,159,31.860267
-31.945067,126,31.99221
-168.091236,186,32.18536
-56.033055,245,32.433141
-71.881146,146,32.584421
-78.408276,157,32.745368
-65.711665,177,32.928079
-98.100953,224,34.311721
-30.468871,166,34.488183
-106.419297,119,35.703419
-51.894596,131,35.834291
-15.288259,124,35.962156
-150.730623,236,36.199411
49.726745,1000,37.220058
-19.520759,130,37.350991
-12.309436,105,37.46283
-50.547027,91,37.558543
-20.719869,187,37.757941
40.693773,144,38.99775
-40.105403,122,39.122884
-11.42436,162,39.28593
-26.138661,162,39.451888
4.329305,123,39.573953
-101.59971,182,39.757552
-15.105624,103,39.862283
-51.755667,228,40.09098
-104.49106,230,40.330167
-20.525385,98,40.425999
-28.412907,105,40.537146
-20.839703,127,40.670096
-37.318746,126,40.80223
-63.204587,281,42.185524
49.627509,243,42.439369
14.739856,117,42.553124
-9.951724,219,42.781113
-10.253843,170,42.957686
-36.288806,179,43.141476
-100.002224,227,43.371264
-148.592163,198,43.572147
-34.831837,206,43.784746
-130.552328,139,43.934951
-57.746622,124,44.067142
29.368052,1000,46.21025
74.91818,1000,47.252334
-87.9274,214,48.577259
-14.444704,196,48.78281
-115.473261,431,49.225296
63.827555,139,49.36613
-18.690679,157,49.525154
-22.302104,224,49.755275
-47.582114,259,54.053082
-125.702151,581,54.707421
-39.512653,215,56.080449
5.359276,1000,57.121754
-17.021786,1000,59.320059
100.598026,1000,60.36435
40.155452,168,60.540596
46.296353,1000,62.716336
77.367579,1000,63.76342
88.248063,1000,65.9364
48.426347,1000,66.990479
16.603551,173,67.180589
-4.372871,232,67.440019
43.754295,295,67.761594
70.822353,1000,69.924538
47.922234,1000,75.500906
53.648882,1000,77.78881
-16.625929,169,77.97026
27.769579,1000,79.058878
109.15683,1000,81.383614
95.662014,1000,82.484833
-35.545187,1000,84.794258
-26.232448,538,85.363187
130.78587,1000,87.705053
41.004766,1000,88.780239
135.134311,1000,91.031263
53.439109,1000,97.818085
122.863884,1000,100.214773
99.360984,1000,101.299516
117.328677,1000,103.538498
48.227888,1000,104.593075
-17.222311,234,104.841524
2.859,1000,107.08003
9.899849,292,107.390883
-115.205368,426,107.835339
118.363593,1000,110.111911
78.342,1000,111.245625
131.538685,1000,113.367244
-19.434728,394,113.872019
-9.87906,305,117.600216
16.792051,1000,118.684559
91.282561,1000,120.904303
77.473859,1000,121.968779
109.302415,1000,124.141473
115.50109,1000,125.202665
-245.94947,668,127.045912
10.282485,357,127.443053
31.643869,1000,128.527378
34.823408,1000,130.745064
28.238782,1000,131.779691
-86.198451,525,133.395111
145.815483,593,138.150758
54.872809,1000,139.238001
108.731234,1000,141.440144
-66.533603,351,141.795204
64.403021,1000,142.795639
84.075621,1000,144.927922
97.363001,1000,146.021246
-55.410232,433,147.544245
55.479116,1000,148.537693
-19.812171,1000,150.630988
41.454574,1000,151.664661
41.424925,1000,159.899303
91.354723,1000,161.069686
13.157003,1000,163.291352
89.218908,1000,164.337334
114.828991,1000,166.495872
-74.773075,1000,167.51409
93.536514,1000,169.685544
109.89787,1000,170.927021
-97.831989,599,171.614133
63.155185,1000,173.950107
99.459201,1000,174.986967
68.926913,1000,183.033114
106.99828,1000,184.087502
210.197839,476,184.597455
181.505819,804,186.542734
43.557698,1000,187.464816
84.204482,1000,189.991677
88.996779,1000,191.207762
59.087374,1000,193.887623
99.792738,1000,195.264009
163.863124,548,197.388313
133.726514,1000,198.393155
159.491711,852,203.999186
81.640524,1000,206.119175
-39.746524,428,206.592772
131.708379,1000,208.763952
129.896507,502,209.311923
146.576017,618,209.963812
71.579305,1000,212.01053
114.645254,654,212.75553
73.391895,1000,214.834348
61.536194,1000,215.88477
99.776642,1000,218.182852
85.802306,1000,219.146485
198.685209,587,223.37128
113.590943,1000,225.699746
68.637019,1000,226.818526
57.933121,1000,228.978697
130.673851,1000,230.027389
146.522216,579,231.708735
132.07152,1000,232.73132
32.016848,1000,233.763542
63.104786,1000,235.861426
133.203185,1000,236.905751
132.854181,1000,239.026496
59.333511,1000,243.400978
131.695112,1000,246.137124
108.966,1000,247.228487
-55.983128,319,248.669419
76.872112,1000,249.737294
96.578107,1000,251.861191
187.647503,382,252.249795
31.861554,1000,253.310346
172.868173,406,253.747463
123.724021,1000,255.894978
117.321368,1000,256.93451
146.059342,1000,259.153934
84.349042,1000,262.831089
83.324754,576,264.445168
176.473037,453,264.918642
-93.011662,341,265.218483
109.697639,1000,267.222363
75.761819,1000,268.136299
111.369058,1000,270.169461
85.348848,1000,271.213781
182.46437,408,271.640574
-44.967016,253,271.897088
-43.419209,221,272.146786
182.294347,432,273.663127
108.888135,1000,274.693281
122.153255,1000,276.716425
150.991053,1000,280.263488
112.226294,1000,282.568639
-35.257711,263,282.845774
195.553198,359,283.222819
152.263247,1000,284.273288
143.289001,1000,286.294332
226.42242,836,287.164833
-6.007105,247,287.444584
175.856821,390,288.854754
113.072525,1000,289.884056
-17.076811,266,290.167003
105.364141,1000,292.267204
104.684954,1000,293.378622
143.845054,1000,295.559097
175.929757,345,298.181632
-38.09011,227,298.455984
-5.389506,255,298.766228
120.371155,1000,301.012804
87.690214,1000,302.105844
192.502252,324,302.440831
112.600266,1000,304.537285
150.092836,1000,305.615616
217.271578,414,306.046487
189.728652,410,307.484761
109.307924,1000,308.530184
81.198427,1000,310.639083
103.672946,1000,311.716842
194.237184,505,312.25683
125.897394,1000,316.637407
104.972656,1000,317.822441
173.988902,286,318.162228
107.05619,1000,320.328946
76.90411,1000,321.404037
121.991317,1000,323.508797
33.07535,1000,324.574162
190.012356,325,325.946166
96.4823,1000,327.026064
165.754116,317,327.34422
194.402257,355,327.733032
181.811637,263,328.021549
118.188575,1000,330.081445
217.676093,347,330.441578
114.660284,1000,335.539601
210.863666,312,335.961862
139.678641,578,336.802543
135.968539,1000,339.527024
133.271803,1000,340.594008
204.409566,762,341.472231
123.634527,1000,343.554798
94.767481,1000,344.662823
106.877135,1000,346.710844
10.717228,271,346.99569
-34.837732,382,347.417298
145.54001,1000,349.500491
-2.829156,166,349.667488
244.414978,457,350.126541
135.610409,1000,353.565271
199.112943,389,355.015722
199.59303,353,355.372157
149.561681,494,355.862294
124.670874,1000,357.946007
168.678615,1000,358.939387
115.303495,1000,360.970226
150.477391,1000,361.97993
2.104023,153,362.133283
238.305242,938,364.222491
197.836467,289,364.52626
187.384072,840,365.385975
206.291656,188,365.585027
-12.560483,204,365.787914
52.521251,257,366.047519
187.67672,275,367.390079
114.9886,1000,368.382196
205.605492,384,368.767341
199.169402,252,371.422819
181.512102,349,372.973255
156.822275,1000,373.928334
184.829265,257,374.187983
155.115296,1000,376.345297
-16.831882,268,376.619258
4.353701,177,376.80725
81.964493,1000,377.859666
-36.193156,234,378.097743
195.634721,302,379.481076
-0.038451,231,379.712707
153.899394,1000,380.71276
252.418792,360,381.077684
148.399029,1000,383.213934
197.360684,271,383.498265
215.705034,367,383.873733
203.715993,555,384.466794
241.236168,908,386.490419
253.8243,902,389.424717
167.211376,1000,391.563518
180.412532,321,391.900396
212.709111,378,392.285492
200.352926,258,392.545112
212.996775,360,392.919395
212.57707,398,394.390407
133.403585,1000,395.420083
24.814216,251,395.679242
130.356402,1000,397.826537
-1.923802,269,398.094792
151.028936,1000,399.103351
131.62217,1000,401.194096
109.06542,1000,402.213365
123.246839,1000,404.344875
170.157643,633,407.174308
150.425129,1000,409.612688
172.969177,433,410.088588
118.409943,1000,411.131029
244.187645,292,411.428249
127.418754,1000,413.517644
117.769364,1000,414.551806
9.042926,295,416.001372
1.271377,204,416.24713
-42.907831,169,416.46012
127.273676,1000,417.614801
143.241159,1000,419.932024
111.931173,1000,420.986195
211.135539,365,421.360898
219.990684,901,423.351024
91.842174,1000,426.384816
197.743693,283,426.681821
-35.801433,189,427.95112
202.209796,314,428.279298
23.39999,274,428.562238
100.7196,1000,429.595175
7.338045,199,429.804998
7.623399,256,431.144322
64.585084,1000,432.160678
242.043689,827,433.183575
120.691348,1000,435.287518
215.119791,257,435.525969
123.728237,1000,437.405754
89.941737,1000,438.29442
-13.091388,156,438.426497
215.924985,235,438.632819
208.316646,765,440.351138
239.408584,992,443.364291
-16.086941,291,443.713595
129.98052,1000,445.763304
107.127218,1000,446.797762
206.580148,826,448.650769
112.643212,1000,449.66788
173.617916,427,450.081061
91.717819,1000,452.071765
-31.489403,154,452.222208
254.060114,706,452.921719
109.054879,1000,454.92619
183.279729,420,455.381664
-30.19651,252,455.652652
-49.163728,275,455.929899
-17.801015,273,456.211126
206.643598,278,456.499625
207.735493,290,457.785212
-4.640292,150,457.92787
108.43911,1000,460.955022
229.055112,237,461.203144
-8.882594,140,461.357262
140.820701,1000,463.412
33.537525,179,463.597438
233.137781,952,464.533664
233.962972,525,466.046053
123.330639,1000,467.062319
240.004973,624,467.69785
247.996284,500,469.163108
14.698152,294,469.458595
-2.367859,141,469.590389
117.966128,1000,470.586693
199.256092,666,472.236673
203.642021,292,472.516364
226.13223,346,472.8542
-47.767695,320,473.166991
175.829271,440,473.599344
-118.353944,660,477.793036
106.52512,1000,478.842459
128.540765,1000,480.871837
128.757175,613,481.481347
168.716425,316,481.806716
201.40838,534,482.348532
217.230291,450,484.118347
229.4746,301,484.416397
214.076192,870,485.254104
128.590999,1000,487.622256
172.106214,955,488.502647
-18.79133,177,488.656605
233.619895,566,490.515504
165.950374,435,491.002742
229.193114,459,491.506346
195.346837,243,491.776512
115.732296,1000,496.610402
122.772331,1000,497.482312
120.904011,793,498.203056
177.161727,479,499.79679
102.157596,1000,500.840925
219.231399,393,501.258075
222.747514,958,503.364995
146.366237,1000,504.444788
94.438692,1000,506.720745
83.948161,1000,507.76772
96.507495,1000,510.005293
202.910621,392,510.422871
-10.746883,265,510.70536
-93.79697,409,511.141902
191.794977,278,513.983282
134.829843,1000,516.171854
77.180728,1000,517.178427
186.435383,366,518.596786
100.494635,1000,519.620217
241.328811,410,520.042336
-54.125401,196,520.253667
255.838396,389,521.800271
204.715184,703,522.524668
190.048292,377,522.915185
107.171242,1000,525.160863
85.144466,1000,526.214734
213.389526,777,527.030043
187.620374,414,528.60353
200.957322,344,528.963113
-33.594668,223,529.194873
247.486136,386,529.589481
226.043716,365,532.243924
166.815454,458,533.81315
169.891255,319,534.149456
243.323813,438,534.60319
68.026773,1000,535.617854
212.499131,312,537.061769
175.812039,410,537.565455
201.636394,330,537.909367
170.08924,430,538.348413
167.84507,394,538.746369
153.537602,312,539.086125
135.676993,1000,541.143175
-2.835705,346,541.485382
-23.456012,231,541.715318
122.523516,1000,543.818526
-60.691454,450,544.291943
245.17589,650,544.970961
181.261242,326,545.319866
186.065425,335,546.754696
89.413577,1000,547.771915
156.83192,401,551.336123
74.38209,1000,553.494752
166.120618,266,553.768894
-25.844787,329,554.127258
-24.057868,297,554.433723
157.117526,428,554.876297
189.44713,529,556.49194
240.914514,550,557.049388
210.382624,290,557.346422
205.158485,347,557.695638
126.845885,1000,559.797826
103.390735,1000,560.826924
50.371603,1000,562.962037
-33.98944,182,563.147395
201.520822,367,563.516055
203.947637,322,563.863914
225.414447,381,564.246384
214.877389,358,564.627059
207.096004,284,565.999565
226.515181,548,566.560472
88.740309,1000,570.15274
256.018767,420,571.687014
-16.657246,202,571.892776
225.112967,303,572.202787
-21.095661,326,572.535128
230.217485,347,572.901582
182.114011,303,573.214567
-117.200983,415,573.676973
173.818352,431,575.187707
160.51603,733,575.930095
118.075599,1000,578.02288
214.380012,505,578.539952
216.188053,570,579.120088
205.470959,434,579.559621
-139.700091,395,579.966624
245.514827,352,581.391664
179.329134,365,581.779889
202.070191,544,582.337774
236.97761,336,582.685129
185.910788,850,584.66326
213.835546,351,585.02639
247.129416,454,587.914232
178.213142,404,588.350872
-8.505238,184,588.548112
220.451419,344,590.002697
198.092851,444,590.452114
205.793325,328,590.791094
230.010108,349,591.162441
231.719776,356,591.532343
226.48221,371,591.927381
268.369947,297,593.367042
189.936261,281,593.648724
218.350068,234,593.888934
214.35848,473,594.370078
213.608723,348,594.724238
105.214756,1000,596.836751
235.080172,463,597.312792
226.862832,296,597.616671
197.983852,297,597.923135
292.182307,420,598.357337
104.122435,1000,600.503861
-5.89515,148,600.652959
240.001141,389,601.052442
185.412166,353,601.423649
220.937646,336,602.870179
214.151813,288,603.183284
119.245843,1000,606.477878
253.033933,320,606.825704
171.726706,397,607.2614
118.753268,1000,609.381296
-6.435748,209,609.602381
-20.29586,228,609.835051
204.801752,273,610.116127
214.111986,490,611.719712
-9.390708,230,611.95387
108.697995,1000,612.990941
116.421945,1000,615.125977
-4.10339,280,615.41716
231.510133,378,615.80603
130.783336,1000,616.832225
252.158646,310,618.223635
-2.778112,223,618.453918
191.704774,306,618.76781
110.042322,1000,619.801879
207.779318,371,621.302971
237.115712,335,623.815245
183.917912,292,624.121732
8.884788,213,624.358443
185.951678,308,624.707736
220.640462,304,625.046643
218.315083,525,626.714781
204.695545,472,627.202119
120.594116,1000,628.234239
251.998275,356,628.605495
210.411535,423,630.17348
126.53942,1000,631.345107
268.297399,357,631.688803
260.722958,402,632.121366
90.000521,1000,634.257191
204.913456,267,634.546093
239.607333,302,634.858204
228.710194,380,635.246391
213.593288,523,636.811634
197.107778,409,637.240625
213.487532,335,637.588531
98.821747,1000,641.748998
161.87263,300,642.102524
-36.605786,190,642.324687
215.985515,422,642.798835
-95.106597,362,643.212656
221.996247,444,643.728461
235.553877,504,645.380111
192.514726,335,645.712494
-9.740567,180,645.906744
253.334788,369,646.285716
230.441247,292,646.573294
215.241675,312,646.900024
207.460905,339,647.264917
-26.959143,241,648.575008
109.624755,1000,649.561697
195.319255,402,649.969838
252.398768,430,651.46262
234.307293,291,651.76514
215.400065,576,652.341112
-27.303653,166,652.499034
193.509589,309,652.829908
222.154466,471,653.312874
-1.017521,214,653.525282
132.860901,1000,655.558141
180.651629,395,655.993446
181.153091,358,656.371142
-179.525158,320,659.853177
-41.693702,196,660.040895
188.603249,269,660.29898
204.19383,332,660.622216
99.448724,1000,661.646199
218.842482,880,663.658453
200.955473,377,664.030829
194.88697,271,664.289863
115.449436,1000,666.360932
92.803778,1000,667.413642
192.587538,278,667.704373
224.381319,278,667.984855
249.747187,475,669.520915
200.5904,320,669.852833
-28.058285,263,670.121689
3.105031,241,670.383044
182.096199,534,670.944184
194.217957,315,671.279573
222.283804,854,673.164195
3.642192,243,673.435409
249.873561,326,673.784328
248.009843,326,676.108402
196.708321,402,676.60728
230.438789,309,677.939733
255.825946,286,678.25727
-50.811955,192,678.480037
-0.110587,279,678.752127
183.986067,283,679.034436
211.959721,292,679.320253
185.869543,279,679.59172
221.447376,295,680.890789
223.366148,342,681.266519
219.210518,297,681.586558
119.874615,1000,682.666301
167.989461,366,684.097643
171.384516,1000,685.137025
251.240072,323,685.476104
211.062611,322,685.814189
260.034419,293,686.116024
182.120848,659,687.812304
214.157537,264,688.072269
254.793754,334,688.400243
226.351266,292,688.700484
104.643408,1000,690.788167
265.299963,535,691.31147
109.347981,1000,694.283495
10.389034,218,695.589144
232.879762,418,696.010878
196.595518,302,696.345107
17.432522,216,696.574582
-3.138786,208,696.787558
166.29007,284,697.092649
195.051647,388,697.519685
236.0581,911,699.476457
201.581419,383,699.884597
252.952477,301,700.179854
207.631527,454,700.673367
225.511446,873,702.574111
217.532074,314,702.924325
201.952463,329,703.242692
194.779958,280,703.539876
114.472764,1000,705.699999
188.715772,333,706.048871
249.900053,326,706.419732
255.230308,290,706.760647
-110.129509,360,707.122367
102.957876,1000,709.241878
-158.161929,207,711.35919
243.094691,287,711.726279
169.914258,320,712.095646
-14.844952,231,712.353043
260.376474,393,713.778639
262.608832,294,714.066051
228.841673,637,714.718299
