#{"t_start": 1781625549.3229792, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-431.874109,108,1.046435
-241.291474,85,1.126267
-299.637355,108,1.230899
-113.814382,96,1.318379
-430.980193,80,1.402074
-76.048627,95,1.505969
-400.660936,150,1.653618
-463.95442,86,1.741599
-340.012396,144,1.894165
-65.151165,85,1.973803
-187.579806,318,2.274698
-148.969358,128,2.392782
-177.701957,113,2.499635
-600.970523,160,2.644666
-262.556107,98,2.736131
-456.670617,75,2.806922
51.235753,95,2.895859
-379.032882,110,4.302505
-369.914218,113,4.406918
-225.253208,73,4.478901
-79.627189,104,4.579424
-75.107105,77,4.651671
-113.19039,89,4.731949
-132.48745,132,4.854724
-394.601059,177,5.018484
-84.393864,122,5.142955
-27.315556,147,5.278239
-223.834138,95,5.379024
-80.612616,77,5.462734
-157.962393,118,5.575537
-361.042481,79,5.647112
-286.846543,97,5.736737
-39.847627,66,5.797618
-444.980939,102,5.892156
-68.253646,120,6.009564
-296.83323,131,6.1318
-127.896669,121,7.29266
-58.98787,74,7.371374
-267.324533,83,7.457529
-79.89997,75,7.537815
-468.886805,140,7.681691
-299.100157,126,7.808985
-172.023798,167,7.988972
-104.177031,84,8.078415
-200.72281,95,8.18212
-171.008358,79,8.267597
-102.385197,136,8.414118
-486.370681,141,8.564557
-56.091486,76,8.646735
-112.399231,80,8.73734
-54.462809,83,8.834317
-88.128332,81,8.922607
-96.614696,101,9.029988
-46.769491,65,9.105004
-115.111194,171,9.285114
-176.630159,113,9.41774
-123.2301,112,10.649563
-91.550279,99,10.756426
-185.792408,120,10.887441
-117.98741,98,10.995154
-97.198378,98,11.095643
-179.997733,120,11.231161
-55.659901,131,11.375457
-181.746704,145,11.533861
-112.423802,122,11.666838
-132.157771,130,11.820341
-88.118068,103,11.943027
-360.539061,75,12.026357
-201.480528,77,12.109891
-106.847065,96,12.219118
-131.667102,109,12.337317
-71.645216,91,12.444936
-75.692902,126,12.58187
-93.530669,131,12.719646
-131.576724,91,13.92888
-76.17283,114,14.055379
-47.84752,77,14.136994
-122.163974,90,14.232696
-73.218556,83,14.320631
-60.068836,78,14.409703
-255.743236,95,14.514139
-80.783538,81,14.604004
-51.203477,76,14.684369
-63.209157,80,14.769567
-71.181127,177,14.971227
-111.038658,123,15.097856
-116.754938,136,15.243755
-122.054722,68,15.315273
-92.248209,88,15.405058
-84.710506,79,15.492735
-234.428347,192,15.706213
-49.685942,84,15.795712
-320.486089,209,16.655644
-77.758488,123,17.938108
-185.636399,116,18.059161
-228.018748,161,18.230567
-176.811177,195,18.442118
-181.292598,125,18.587562
-30.710777,111,18.704181
-67.920111,69,18.783402
-59.819463,85,18.879861
-267.184116,127,19.018786
-165.308621,205,19.242863
-114.930959,109,19.36775
-84.476123,119,19.499491
-205.321891,200,19.717866
-219.56966,124,19.870124
-41.744907,171,20.067118
-8.5322,77,20.151384
-169.420468,65,21.374856
-35.072221,104,21.490314
-463.807258,159,21.674241
-235.872924,161,21.84169
